sentence,category
A hula hoop going up your jumper .,UNCATEGORIZED
Right say something to me Thomas .,UNCATEGORIZED
Oh it 's driven off .,UNCATEGORIZED
Somewhere else is blowing .,UNCATEGORIZED
Might have toast first .,UNCATEGORIZED
And hear on both ear moes ?,UNCATEGORIZED
And smack it .,UNCATEGORIZED
Was showing her pants .,UNCATEGORIZED
Was showing everything .,UNCATEGORIZED
Mummy is married to Dad .,UNCATEGORIZED
To give me some you of the um tunes off um some of the birds .,UNCATEGORIZED
Only do this .,UNCATEGORIZED
Something 's broke down .,UNCATEGORIZED
One of mine because look at that .,UNCATEGORIZED
Still saying boo boo .,UNCATEGORIZED
And then in the car go ugh ugh ugh .,UNCATEGORIZED
Just take it to it .,UNCATEGORIZED
Do n't touch that .,UNCATEGORIZED
There drink the water .,UNCATEGORIZED
Mommy turn ?,UNCATEGORIZED
And watch the fish .,UNCATEGORIZED
Warm do one .,UNCATEGORIZED
Not spill this .,UNCATEGORIZED
You 're all done ?,UNCATEGORIZED
Mom cover Eve .,UNCATEGORIZED
Oh it 's stuck again .,UNCATEGORIZED
All done nap .,UNCATEGORIZED
And move horsie .,UNCATEGORIZED
Then wake up .,UNCATEGORIZED
Here come .,UNCATEGORIZED
Mom come right back .,UNCATEGORIZED
Mom get Eve pencil .,UNCATEGORIZED
Again get Eve pencil ?,UNCATEGORIZED
It 's broken yes .,UNCATEGORIZED
Still write .,UNCATEGORIZED
No make Eve 's soup .,UNCATEGORIZED
Me too writing m b c .,UNCATEGORIZED
All done .,UNCATEGORIZED
Now get an a .,UNCATEGORIZED
Now get the t .,UNCATEGORIZED
Do n't put them in your mouth !,UNCATEGORIZED
Now do n't hit me with your sticky fingers .,UNCATEGORIZED
Mom buying it for me .,UNCATEGORIZED
Hey now put the cream down please .,UNCATEGORIZED
Mom putting the pudding .,UNCATEGORIZED
Have put these .,UNCATEGORIZED
Have put .,UNCATEGORIZED
It got smoothed .,UNCATEGORIZED
It got smoothed Fraser .,UNCATEGORIZED
Just smoothing .,UNCATEGORIZED
Eve do n't take the paper off please .,UNCATEGORIZED
Now Eve do n't get rowdy .,UNCATEGORIZED
Ready to turn it .,UNCATEGORIZED
Just to pass the time away .,UNCATEGORIZED
My lunch 'll make me happy .,UNCATEGORIZED
Mom Sarah go right here by me .,UNCATEGORIZED
I 'm done .,UNCATEGORIZED
It 's done !,UNCATEGORIZED
I 'm done with the pizza .,UNCATEGORIZED
Do n't eat mine .,UNCATEGORIZED
Do n't eat yours .,UNCATEGORIZED
Just sit here .,UNCATEGORIZED
Along came a .,UNCATEGORIZED
Eight little ladybugs sitting on .,UNCATEGORIZED
Seven little ladybugs sitting on on .,UNCATEGORIZED
Six little ladybugs sitting on the seat .,UNCATEGORIZED
Maybe outside and then draw on the sidewalk chalk with this .,UNCATEGORIZED
Five little ladybugs sitting on a .,UNCATEGORIZED
Four little ladybugs sitting on a bench .,UNCATEGORIZED
Three little ladybugs sitting on .,UNCATEGORIZED
Two little ladybugs sitting on the bench .,UNCATEGORIZED
One little ladybug sitting all alone .,UNCATEGORIZED
Nine little bowling pins sitting on a .,UNCATEGORIZED
To go to the other horse .,UNCATEGORIZED
Here come another tractor .,UNCATEGORIZED
And put those other ones in here .,UNCATEGORIZED
Haf ta bring ready ?,UNCATEGORIZED
I 'm not done with these .,UNCATEGORIZED
Ooh here look at all these presents .,UNCATEGORIZED
And it 's colored orange .,UNCATEGORIZED
And draw the sun too !,UNCATEGORIZED
And then all say that word .,UNCATEGORIZED
Just buy three foods .,UNCATEGORIZED
He 's all peed on .,UNCATEGORIZED
Yeah now the no the doggie was named Ariel .,UNCATEGORIZED
No but there 's .,UNCATEGORIZED
Just stay in the car Maxic .,UNCATEGORIZED
All right thank you .,UNCATEGORIZED
Do n't go too fast or over any big bumps .,UNCATEGORIZED
Do n't sit on the table !,UNCATEGORIZED
Another curved letter .,UNCATEGORIZED
Six sided things .,UNCATEGORIZED
Does n't look very much like a dandelion .,UNCATEGORIZED
Mom look !,UNCATEGORIZED
No do n't push it over !,UNCATEGORIZED
How about somebody else make something now .,UNCATEGORIZED
For that person to ride home from work .,UNCATEGORIZED
How about triangle pose Emma ?,UNCATEGORIZED
I am made of brownies .,UNCATEGORIZED
A car with a broken window ?,UNCATEGORIZED
Oh indeed coming up .,UNCATEGORIZED
It 's stuck .,UNCATEGORIZED
All done !,UNCATEGORIZED
Where go ?,UNCATEGORIZED
Do n't do that .,UNCATEGORIZED
Okay all done .,UNCATEGORIZED
Ready set go .,UNCATEGORIZED
And pull !,UNCATEGORIZED
Clean up clean up .,UNCATEGORIZED
Do n't do it .,UNCATEGORIZED
Do n't put it on the floor .,UNCATEGORIZED
It 's almost done .,UNCATEGORIZED
It 's finished .,UNCATEGORIZED
I 'm all done .,UNCATEGORIZED
It 's all done !,UNCATEGORIZED
Almost done !,UNCATEGORIZED
