sentence,category
Mm mm .,FRA
A truck .,FRA
Wow wow .,FRA
Aah aah .,FRA
A boo .,FRA
Aah mm .,FRA
Two spoons for me .,FRA
Is hat .,FRA
Ah is hat .,FRA
Ooh oh dear .,FRA
A whoosh .,FRA
Ooh door .,FRA
A big chair .,FRA
Big chair .,FRA
A tea .,FRA
A tree .,FRA
There it is .,FRA
Blue blue blue .,FRA
A snow .,FRA
A blue truck oh dear .,FRA
A down .,FRA
Is n't it ?,FRA
What they here ?,FRA
A blue truck .,FRA
Well well .,FRA
Um a this ?,FRA
Blue truck .,FRA
Oh Po .,FRA
And snow .,FRA
Two spoon .,FRA
Big bowl .,FRA
Nice hat .,FRA
A big bowl .,FRA
Two hat .,FRA
Wodar wodar wodar .,FRA
Whoops oh no .,FRA
A nice hat .,FRA
Mm no .,FRA
What 's that noise ?,FRA
Woosh Dada .,FRA
Eh aah .,FRA
Yellow yellow .,FRA
More tea .,FRA
Two seven trees .,FRA
A more trees .,FRA
Oh that ?,FRA
Snow snow snow .,FRA
Two Bow .,FRA
And m a two Bow .,FRA
Oh banana .,FRA
A grapes .,FRA
Teddy bear .,FRA
Pink dough .,FRA
Tut tut tut tut tut .,FRA
Green dough .,FRA
What 's a there ?,FRA
Tea tea .,FRA
A Mamma two ball .,FRA
Two balls .,FRA
Oh what 's dis ?,FRA
Tea 's in the pot .,FRA
Green ball .,FRA
Two ball .,FRA
Big bear .,FRA
Woof woof woof .,FRA
Woof woof .,FRA
There a ball .,FRA
Six seven eight nine ten .,FRA
Po 's scooter .,FRA
One two three .,FRA
Eight nine .,FRA
More Piglet .,FRA
Two six seven eight nine ten .,FRA
Moo a this ?,FRA
Van is here .,FRA
In there .,FRA
Where the bowl ?,FRA
What 's the pot .,FRA
Where 's a football ?,FRA
Bear this .,FRA
Round and round .,FRA
A Bear .,FRA
Oo oops .,FRA
Oh choo choo choo .,FRA
On a top .,FRA
Choo choo .,FRA
Chair bear .,FRA
There chair .,FRA
Ooh choo choos .,FRA
Where Sue ?,FRA
Choo choos .,FRA
Oh this .,FRA
Choo there .,FRA
Oh dear dear a mess .,FRA
A bus .,FRA
A green bus .,FRA
Ooh ooh .,FRA
A pink .,FRA
All stuck .,FRA
Whoosh truck .,FRA
A Dadda Dadda Dadda .,FRA
Po scooter .,FRA
Oh scooter .,FRA
No scooter .,FRA
Where 's a ball ?,FRA
The bear .,FRA
Oh uh .,FRA
Stuck uh .,FRA
Oh ooh .,FRA
Blue shoes .,FRA
A Granddad dow .,FRA
The balloon .,FRA
Here uh .,FRA
A Nana tea .,FRA
A box .,FRA
Nana Nana tea .,FRA
Be bash .,FRA
A door .,FRA
Blue bo .,FRA
Dada oh dear .,FRA
Mhm yeah .,FRA
Ah no .,FRA
Oh dear mess .,FRA
Um no no .,FRA
The mess ?,FRA
Blue a here .,FRA
Bear chair .,FRA
A there a there .,FRA
And some cheese .,FRA
My moo .,FRA
Ah bubbles .,FRA
Vroom vroom vroom .,FRA
Ring ring .,FRA
Oh baby .,FRA
There he is .,FRA
Green leg .,FRA
Truck wo wo .,FRA
The ball stack .,FRA
More chair .,FRA
I ca n't .,FRA
A more chair .,FRA
Ts here .,FRA
Oh yes .,FRA
Dee dee dee dee .,FRA
Yeah here .,FRA
Oh Dadda plate .,FRA
Very good .,FRA
A chair .,FRA
No pa .,FRA
Whoosh blue .,FRA
Hello Dadda .,FRA
Ooh oh oh .,FRA
Oh peas .,FRA
Yellow stop .,FRA
Yes peas .,FRA
Hello Po .,FRA
Choo choo choo .,FRA
A blue scooter .,FRA
Green banana .,FRA
Uh ooh .,FRA
Down choo choos .,FRA
Poo nice .,FRA
White truck .,FRA
Grapes a there .,FRA
Uh no .,FRA
A bubbles .,FRA
Is in .,FRA
Oh bubbles .,FRA
Banana grapes .,FRA
Two bubbles .,FRA
Oh Po in there .,FRA
Two ne there .,FRA
It 's hat .,FRA
Oh where the bubble .,FRA
The bubble .,FRA
Big toe .,FRA
Two toe .,FRA
Choc choc choc choc .,FRA
Phh woosh blue .,FRA
Two toe toes six toe .,FRA
Red truck .,FRA
A more grapes .,FRA
No truck .,FRA
Big truck .,FRA
A Dadda 's .,FRA
A toe two two two .,FRA
Pooh nice .,FRA
A there a box .,FRA
A more bubble .,FRA
Oh oops a stuck .,FRA
Cheep cheep .,FRA
In box .,FRA
A more bubbles .,FRA
Dadda spoon .,FRA
Two truck .,FRA
A two truck .,FRA
A box a there .,FRA
That truck .,FRA
Just a second .,FRA
Po Po Po .,FRA
A there this .,FRA
Huge truck .,FRA
Scooter scooter .,FRA
Where the blue .,FRA
Nana 's here .,FRA
Where a blue ?,FRA
A juice straw .,FRA
Nin off .,FRA
Um um a this ?,FRA
Three hat .,FRA
A more hat .,FRA
More hats .,FRA
A poo .,FRA
Wha this ?,FRA
A there 's hat .,FRA
A in there .,FRA
Ay no .,FRA
That 's a this .,FRA
S hat .,FRA
Uh blue blue .,FRA
Oh juice .,FRA
Is Dadda 's sock .,FRA
Oh Bow .,FRA
Down truck .,FRA
Daddy a work .,FRA
Beep beep truck .,FRA
Blue hat .,FRA
Oh mess .,FRA
A this banana .,FRA
Oh a this ?,FRA
Oh chair .,FRA
Blue and green .,FRA
Oh what 's that ?,FRA
Do n't .,FRA
Oh hat .,FRA
Oh tea !,FRA
Please juice .,FRA
Please please juice .,FRA
Poop poop poop poop .,FRA
Hello Nana .,FRA
Poop poop .,FRA
Please please please juice .,FRA
Where a truck ?,FRA
A more juice .,FRA
Eh eh .,FRA
Vroom vroom .,FRA
A truck truck .,FRA
Right Thomas .,FRA
You can .,FRA
Oh truck !,FRA
What a these ?,FRA
He 's a work .,FRA
Here you are .,FRA
Pa more juice .,FRA
No blue bus .,FRA
A cheese .,FRA
A lie on there .,FRA
A cheese cheese .,FRA
Oh more .,FRA
Shoo shoo !,FRA
Dadda chair .,FRA
Oh quack quack .,FRA
Oh what 's these ?,FRA
Quack quack .,FRA
Please please .,FRA
Baby quack quack .,FRA
A two quack quack .,FRA
There a bus .,FRA
Here brush .,FRA
It 's green .,FRA
More more juice .,FRA
Shoe shoe shoe shoe shoe .,FRA
More juice juice .,FRA
A bang .,FRA
There they are .,FRA
Oh blue .,FRA
The chair .,FRA
Chair chair .,FRA
Oops Hat oh dear .,FRA
That 's a good boy .,FRA
That 's nice .,FRA
What this ?,FRA
No bash .,FRA
Is that alright ?,FRA
I can .,FRA
And then .,FRA
A bash .,FRA
Are you ?,FRA
Night time .,FRA
Oh good .,FRA
No way .,FRA
Choc choc choc .,FRA
Yes it is .,FRA
That 's .,FRA
Oh yeah .,FRA
Like this ?,FRA
A no .,FRA
Oh wow wow .,FRA
It 's there .,FRA
That 's better .,FRA
What 's in the box ?,FRA
Not at the moment .,FRA
No thanks .,FRA
Do n't we ?,FRA
That 's not nice .,FRA
No box .,FRA
That 's alright .,FRA
Big bang .,FRA
Big tummy .,FRA
Alright then .,FRA
Woo woo .,FRA
Hot .,FRA
They 're not hot .,FRA
Do n't you ?,FRA
Are n't they ?,FRA
Bye bye Sue .,FRA
Ah oh .,FRA
It 's hot .,FRA
Do n't be silly .,FRA
Not nice at all .,FRA
Yes yes .,FRA
Swish swish swish .,FRA
And what else ?,FRA
Right now .,FRA
In the car .,FRA
Num num .,FRA
It is n't .,FRA
And oranges .,FRA
Little baby .,FRA
That one .,FRA
No work .,FRA
Right darling .,FRA
Is it ?,FRA
A carrot .,FRA
No shoes .,FRA
Whoosh whoosh .,FRA
Oh it 's here .,FRA
Oh right .,FRA
Hey hey !,FRA
It 's that one .,FRA
Big crash .,FRA
It 's not hot .,FRA
It 's cold .,FRA
What 's this now ?,FRA
Yellow one ?,FRA
That 's a new one .,FRA
It 's orange .,FRA
That 's silly .,FRA
No poo .,FRA
Oh darling .,FRA
Up here .,FRA
Down there .,FRA
Will you ?,FRA
It 's nice .,FRA
Oops a daisy .,FRA
Mhm mhm .,FRA
None there .,FRA
Choo choo choo choo .,FRA
What 's in the box Thomas ?,FRA
A choo choos .,FRA
Oh no no no no .,FRA
The trains .,FRA
Oh dear me .,FRA
You ca n't .,FRA
One and .,FRA
A big bus .,FRA
Are your hands clean ?,FRA
Not yet .,FRA
No it 's not .,FRA
A big .,FRA
Nana Granddad .,FRA
A move .,FRA
Round and round the garden .,FRA
Shh shh shh .,FRA
All day long .,FRA
Shoes off ?,FRA
Ca n't you ?,FRA
Mhm mhm mhm .,FRA
Beeba beeba .,FRA
Cup of tea .,FRA
A drink .,FRA
Mummy 's .,FRA
No boxes ?,FRA
Hm hm .,FRA
A choo choo .,FRA
White and green .,FRA
Yes please .,FRA
Do they ?,FRA
It 's not .,FRA
This morning ?,FRA
Swish swish .,FRA
Fire engine .,FRA
Oh are you ?,FRA
That 's for you .,FRA
More choo choos .,FRA
There there .,FRA
Poor man .,FRA
In the chair ?,FRA
Thomas 's .,FRA
And you .,FRA
Hello man .,FRA
A choo choo there .,FRA
Not there .,FRA
Big hug .,FRA
Juice please .,FRA
Can you ?,FRA
No cry .,FRA
Okay then .,FRA
In a minute .,FRA
Ta much .,FRA
Again again .,FRA
What 's in here ?,FRA
Oh yes please .,FRA
A face .,FRA
A shut .,FRA
Nana Granddad there .,FRA
It 's not a .,FRA
Oh pop !,FRA
Two buss .,FRA
He is .,FRA
Too big ?,FRA
Another one .,FRA
That 's a nice book is n't it ?,FRA
Thomas do n't be silly .,FRA
In that one .,FRA
Hello Dimitra .,FRA
And then on the way back .,FRA
A pussy cat .,FRA
This afternoon .,FRA
The rain .,FRA
A Dimitra .,FRA
Ben Charlotte .,FRA
What 's the matter Thomas ?,FRA
Blackcurrant juice .,FRA
Yeah there .,FRA
And some more !,FRA
Well no .,FRA
Orange and green .,FRA
What colors ?,FRA
Brakes on .,FRA
Here you are Mummy .,FRA
Of course .,FRA
A helicopter ?,FRA
Oh that 's alright .,FRA
A trains .,FRA
Balloon balloon .,FRA
Up in the air .,FRA
I do n't .,FRA
Two moneys .,FRA
It 's a Purdie .,FRA
Oh Mummy !,FRA
A hot .,FRA
Bang head .,FRA
The bowl .,FRA
I will .,FRA
Baby nose .,FRA
Racing car .,FRA
Mixer round and round .,FRA
In here .,FRA
Bin bags .,FRA
What 's this Mummy ?,FRA
A crunch .,FRA
Where 's the .,FRA
My Mummy .,FRA
Ta much indeed .,FRA
Hello Felix .,FRA
This is .,FRA
Big tail .,FRA
There she is .,FRA
A snake ?,FRA
No Mummy .,FRA
Yeah yeah .,FRA
Police car .,FRA
I have n't a clue .,FRA
No no thanks .,FRA
Hello Mummy .,FRA
Dear dear .,FRA
It 's dark now .,FRA
Daddy Rod ?,FRA
A big tummy .,FRA
A fire !,FRA
How much is it ?,FRA
No Mummy 's .,FRA
Choo choo train .,FRA
Nana Granddad 's house .,FRA
No drink .,FRA
A trailer .,FRA
A better .,FRA
A taste it .,FRA
Bin bag lorry ?,FRA
Big paws .,FRA
Thomas Mummy .,FRA
A cross .,FRA
But um .,FRA
A one there .,FRA
This Mummy ?,FRA
A bin bag lorry .,FRA
A hungry .,FRA
Why not ?,FRA
Not toys .,FRA
Teddy bears .,FRA
Choo choo tunnel .,FRA
Are n't you clever ?,FRA
Big nips .,FRA
And what .,FRA
Twenty two .,FRA
No open .,FRA
A watch Pippin on .,FRA
No I ca n't .,FRA
Oh Nin Nin .,FRA
A Nin Nin .,FRA
Here you are train .,FRA
What funny noise ?,FRA
A drop ?,FRA
Is that better ?,FRA
Racing cars ?,FRA
Green light .,FRA
Bye bye horse .,FRA
Naughty boys .,FRA
No pasta .,FRA
And Dimitra .,FRA
Two wheels .,FRA
A sweetie .,FRA
Last summer .,FRA
A fall over .,FRA
No back .,FRA
The light on .,FRA
Nana and Granddad are next door .,FRA
The night time .,FRA
Just Mummy and Daddy .,FRA
Oh the cat too .,FRA
The cat too .,FRA
And the funnel and the chimney .,FRA
It was a brown horse and a white horse was n't it ?,FRA
Two stamps .,FRA
Not now .,FRA
It 's not even your Daddy is it ?,FRA
That you 're being rude about .,FRA
Whose Daddy is it ?,FRA
The green there .,FRA
Is there a green light ?,FRA
Green there .,FRA
And what about the monitors ?,FRA
It 's orange green .,FRA
Are they both orange and green ?,FRA
Good good good .,FRA
That 's a be .,FRA
That 's where they 'll be .,FRA
There you are there you are .,FRA
A bag of crisps .,FRA
Are they crunchy ?,FRA
One for your milky drink tomorrow afternoon and another one for tomorrow evening .,FRA
Just for the day .,FRA
Not nice is it ?,FRA
But they 're a little bit different from these are n't they ?,FRA
Are the crisps crunchy ?,FRA
Two train crashs .,FRA
Train crash .,FRA
Has there been a train crash ?,FRA
Those are like our pound coins are n't they ?,FRA
Oh like that ?,FRA
These are like our little five pences .,FRA
It was in London was n't it ?,FRA
No back it .,FRA
Twenty five Pesetas .,FRA
They 're like polo mints are n't they ?,FRA
Nice and crunchy ?,FRA
De wheels .,FRA
Where was it ?,FRA
Big smack .,FRA
In the pool .,FRA
In London ?,FRA
Monday Tuesday Wednesday Thursday Friday .,FRA
Two ambulance .,FRA
Well I 'm quite sure .,FRA
And the big lorry .,FRA
I 'm quite sure .,FRA
That was exciting .,FRA
A big fire .,FRA
Just be ever so careful though wo n't you ?,FRA
But you 're actually a little bit too big for it now .,FRA
It might be a helicopter .,FRA
Helicopter helicopter .,FRA
A na train like that .,FRA
It is a helicopter is n't it ?,FRA
Oh wow Thomas !,FRA
It 's Sunday evening .,FRA
It was Saturday yesterday .,FRA
It 's Sunday today .,FRA
No rubbish men .,FRA
The rubbish men ?,FRA
What 's the song ?,FRA
Oh is it Monday ?,FRA
Saturday Sunday .,FRA
A na crisps that drawer .,FRA
That drawer .,FRA
Two coaches .,FRA
A minute now .,FRA
A the mint .,FRA
Some mints ?,FRA
Well just .,FRA
Those are crisps there .,FRA
Thomas 's crisps ?,FRA
Sue from over the road .,FRA
Number forty four .,FRA
The two Sues .,FRA
I do n't what time .,FRA
A piece of silver paper .,FRA
Big nip big nip .,FRA
Sa big nips .,FRA
Big tummy a big willie .,FRA
Where have we just been ?,FRA
Funny Sue .,FRA
No a ambulance past .,FRA
No happy birthday .,FRA
Ambulance a better .,FRA
No orange light on .,FRA
Ah are you disappointed ?,FRA
No up .,FRA
No working .,FRA
Light on .,FRA
Karen and Laura .,FRA
Sunday now .,FRA
A green light on .,FRA
A throwing in de bin bag lorry .,FRA
A two lights .,FRA
A play a fire engine .,FRA
On this side .,FRA
A move one .,FRA
And on the side .,FRA
Near Sue 's house .,FRA
Car behind .,FRA
Hello sir .,FRA
Baby moon .,FRA
This a yellow moon .,FRA
And this a big moon .,FRA
A trailer too .,FRA
Two cars .,FRA
No no no trailer .,FRA
This a trailer .,FRA
Another train please .,FRA
Oh like some crisp ?,FRA
Oh chips .,FRA
Oh driver .,FRA
On the table driver .,FRA
On the table .,FRA
Big train past .,FRA
A the car .,FRA
Da crisp .,FRA
Crumbs everywhere .,FRA
Here you are pilot ?,FRA
Coach trip .,FRA
No crumbs .,FRA
A trailer please .,FRA
That a tasty .,FRA
Orange green yellow .,FRA
Big nips a big willie .,FRA
No lunch .,FRA
Um a telephone .,FRA
No Brian .,FRA
The morning alligator .,FRA
Yeah a church .,FRA
This all a wet .,FRA
No no no birthday .,FRA
All wet .,FRA
No no moneys .,FRA
Thanks a lot .,FRA
Another birthday .,FRA
Broombroom plane .,FRA
Home da taxi .,FRA
Piece trailer .,FRA
Plane broom .,FRA
No smiling .,FRA
Big Cornflakes .,FRA
Big na man on it .,FRA
Nothing in it .,FRA
No no milk .,FRA
No milk on it .,FRA
Two car .,FRA
A two bash .,FRA
Dumper truck behind .,FRA
Daddy too .,FRA
What color car ?,FRA
Police car too .,FRA
Yes a dirty trailer .,FRA
A food now .,FRA
Purdie lot a teeth .,FRA
Lot le teeth .,FRA
Dirty wheel ?,FRA
No Purdie 's a teeth .,FRA
Digger man .,FRA
Le ambulance ambulance .,FRA
No red jam .,FRA
A window fall .,FRA
A rubbish .,FRA
Oh the window better now .,FRA
No chase .,FRA
Dustbin lorry .,FRA
No sa shut .,FRA
Juice a straw .,FRA
Jimhind there .,FRA
There you are policeman .,FRA
Oh sa bit hard .,FRA
Dirty things .,FRA
Man no the police car .,FRA
The police car ?,FRA
Police car harder .,FRA
What funny noise Mummy .,FRA
Mummy car .,FRA
Garage a shut .,FRA
A big nips .,FRA
Yellow car .,FRA
Tuesday Friturday .,FRA
Le bin .,FRA
Tasty front .,FRA
Another light working .,FRA
Tuesday Saturday .,FRA
Pippin on there .,FRA
A juice up .,FRA
A bump my head .,FRA
De bin bag lorry .,FRA
The fire engine .,FRA
Da pink .,FRA
Nobody in there .,FRA
Um a um .,FRA
Nobody in .,FRA
Jake a Georgia .,FRA
No Sonia Isabelle .,FRA
Two cabbage .,FRA
No cabbage .,FRA
No a peach .,FRA
No Sooty .,FRA
Toes pink .,FRA
That foot .,FRA
Yes okay .,FRA
Thomas white .,FRA
Behind de board .,FRA
Big one a baby one .,FRA
A Mummy red .,FRA
Another baby .,FRA
A talk Mummy .,FRA
Busy lady .,FRA
A crying ne rain .,FRA
A church .,FRA
Purdie downstairs .,FRA
A grapefruit .,FRA
Poorly leg police .,FRA
A fine a park .,FRA
A poorly leg Mummy .,FRA
Sonia leg .,FRA
Thomas a bath .,FRA
Sonia a poorly leg .,FRA
Abigail bath .,FRA
Two fire .,FRA
Two police cars .,FRA
A Saturday Sunday Dimitras .,FRA
Choo choo tunnel please .,FRA
Mouse mat .,FRA
Tom Abigail .,FRA
A shoe on .,FRA
A too fast .,FRA
No teeth .,FRA
Yes a the doctor .,FRA
The other one .,FRA
Peter a Brian too .,FRA
The fire out .,FRA
No Jess about .,FRA
Other one .,FRA
Abigail Thomas a bath .,FRA
Abigail a bath .,FRA
No reins .,FRA
Big willie cross .,FRA
A the shoe .,FRA
Mummy shoe on ?,FRA
It 's dark .,FRA
Where the policeman car ?,FRA
Too big you .,FRA
A fit .,FRA
A Spanish food .,FRA
No sa move .,FRA
